,Time,Temperature (c),Salinity (ppt),ODO mg/L,temp_z-score,salinity_z-score,odo_z-score,Date
0,42:46.6,26.89999962,49.56,5.44,2.9921039409236396,0.23683020120341192,1.7302443459857457,2024-12-16
1,42:47.6,26.89999962,49.58,5.37,2.9921039409236396,0.2390929854393009,1.6157450089172456,2024-12-16
2,42:48.6,26.89999962,49.56,5.3,2.9921039409236396,0.23683020120341192,1.5012456718487457,2024-12-16
3,42:49.7,26.89999962,49.52,5.17,2.9921039409236396,0.23230463273163307,1.2886040458643893,2024-12-16
4,42:50.7,26.89999962,49.52,5.17,2.9921039409236396,0.23230463273163307,1.2886040458643893,2024-12-16
5,42:51.7,26.89999962,49.52,5.1,2.9921039409236396,0.23230463273163307,1.1741047087958891,2024-12-16
6,42:52.7,26.89999962,49.35,4.99,2.9921039409236396,0.21307096672657239,0.9941771791168192,2024-12-16
7,42:53.7,26.89999962,49.35,4.99,2.9921039409236396,0.21307096672657239,0.9941771791168192,2024-12-16
8,42:54.7,26.89999962,49.47,4.92,2.9921039409236396,0.22664767214190892,0.8796778420483191,2024-12-16
9,42:55.7,26.89999962,49.51,4.81,2.9921039409236396,0.23117324061368774,0.6997503123692477,2024-12-16
10,42:56.7,26.89999962,49.51,4.81,2.9921039409236396,0.23117324061368774,0.6997503123692477,2024-12-16
11,42:57.7,26.89999962,49.51,4.76,2.9921039409236396,0.23117324061368774,0.617965071606034,2024-12-16
12,42:58.7,26.89999962,49.52,4.69,2.9921039409236396,0.23230463273163307,0.5034657345375353,2024-12-16
13,42:59.7,26.89999962,49.67,4.59,2.9921039409236396,0.2492755145008039,0.3398952530111064,2024-12-16
14,43:00.7,26.89999962,49.67,4.59,2.9921039409236396,0.2492755145008039,0.3398952530111064,2024-12-16
15,43:01.7,26.89999962,49.69,4.53,2.9921039409236396,0.2515382987366929,0.24175296409525018,2024-12-16
16,43:02.7,26.89999962,49.21,4.45,2.9921039409236396,0.19723147707534605,0.11089657887410762,2024-12-16
17,43:03.7,26.89999962,49.21,4.45,2.9921039409236396,0.19723147707534605,0.11089657887410762,2024-12-16
