,Time,Temperature (c),Salinity (ppt),ODO mg/L,temp_z-score,salinity_z-score,odo_z-score,Date
0,29:28.5,29.39999962,40.6,3.03,0.3966162148206178,1.0607684052776882,-0.8072076531947732,2024-10-07
1,29:29.5,29.39999962,40.36,3.03,0.3966162148206178,1.0463411327227101,-0.8072076531947732,2024-10-07
2,29:30.5,29.39999962,40.3,3.03,0.3966162148206178,1.0427343145839654,-0.8072076531947732,2024-10-07
3,29:31.5,29.39999962,40.25,3.03,0.3966162148206178,1.0397286328016786,-0.8072076531947732,2024-10-07
4,29:32.5,29.39999962,40.25,3.03,0.3966162148206178,1.0397286328016786,-0.8072076531947732,2024-10-07
5,29:33.5,29.39999962,40.48,3.03,0.3966162148206178,1.053554769000199,-0.8072076531947732,2024-10-07
6,29:34.5,29.39999962,40.5,3.03,0.3966162148206178,1.054757041713114,-0.8072076531947732,2024-10-07
7,29:35.5,29.39999962,40.5,3.03,0.3966162148206178,1.054757041713114,-0.8072076531947732,2024-10-07
8,29:36.5,29.39999962,40.56,3.03,0.3966162148206178,1.0583638598518585,-0.8072076531947732,2024-10-07
9,29:37.5,29.39999962,40.18,3.04,0.3966162148206178,1.0355206783064765,-0.8026579564820292,2024-10-07
10,29:38.5,29.39999962,40.18,3.04,0.3966162148206178,1.0355206783064765,-0.8026579564820292,2024-10-07
11,29:39.6,29.29999924,40.0,3.04,0.24539743803280736,1.024700223890243,-0.8026579564820292,2024-10-07
12,29:40.6,29.29999924,40.09,3.04,0.24539743803280736,1.03011045109836,-0.8026579564820292,2024-10-07
13,29:41.6,29.29999924,40.09,3.04,0.24539743803280736,1.03011045109836,-0.8026579564820292,2024-10-07
14,29:42.6,29.29999924,40.09,3.04,0.24539743803280736,1.03011045109836,-0.8026579564820292,2024-10-07
15,29:43.6,29.29999924,40.36,3.04,0.24539743803280736,1.0463411327227101,-0.8026579564820292,2024-10-07
16,29:44.6,29.29999924,40.08,3.04,0.24539743803280736,1.0295093147419023,-0.8026579564820292,2024-10-07
17,29:45.6,29.29999924,40.05,3.04,0.24539743803280736,1.02770590567253,-0.8026579564820292,2024-10-07
18,29:46.6,29.29999924,40.05,3.04,0.24539743803280736,1.02770590567253,-0.8026579564820292,2024-10-07
19,29:47.6,29.20000076,40.18,3.04,0.09418153439084463,1.0355206783064765,-0.8026579564820292,2024-10-07
20,29:48.6,29.20000076,40.25,3.02,0.09418153439084463,1.0397286328016786,-0.8117573499075168,2024-10-07
21,29:49.6,29.20000076,40.25,3.02,0.09418153439084463,1.0397286328016786,-0.8117573499075168,2024-10-07
22,29:50.6,29.20000076,40.16,3.02,0.09418153439084463,1.0343184055935615,-0.8117573499075168,2024-10-07
23,29:51.6,29.20000076,39.9,3.02,0.09418153439084463,1.0186888603256687,-0.8117573499075168,2024-10-07
24,29:52.6,29.20000076,39.9,3.02,0.09418153439084463,1.0186888603256687,-0.8117573499075168,2024-10-07
25,29:53.6,29.20000076,40.17,3.01,0.09418153439084463,1.0349195419500192,-0.8163070466202608,2024-10-07
26,29:54.6,29.20000076,40.04,3.01,0.09418153439084463,1.0271047693160726,-0.8163070466202608,2024-10-07
27,29:55.6,29.20000076,40.04,3.01,0.09418153439084463,1.0271047693160726,-0.8163070466202608,2024-10-07
28,29:56.6,29.10000038,40.16,3.0,-0.05703724239696583,1.0343184055935615,-0.8208567433330045,2024-10-07
29,29:57.6,29.10000038,40.32,2.96,-0.05703724239696583,1.0439365872968804,-0.8390555301839797,2024-10-07
30,29:58.6,29.10000038,40.35,2.94,-0.05703724239696583,1.0457399963662528,-0.8481549236094673,2024-10-07
31,29:59.6,29.10000038,40.06,2.93,-0.05703724239696583,1.0283070420289877,-0.8527046203222111,2024-10-07
32,30:00.6,29.10000038,40.06,2.93,-0.05703724239696583,1.0283070420289877,-0.8527046203222111,2024-10-07
33,30:01.6,29.10000038,39.74,2.91,-0.05703724239696583,1.0090706786223502,-0.8618040137476987,2024-10-07
34,30:02.6,29.10000038,40.09,2.85,-0.05703724239696583,1.03011045109836,-0.8891021940241615,2024-10-07
35,30:03.6,29.10000038,40.09,2.85,-0.05703724239696583,1.03011045109836,-0.8891021940241615,2024-10-07
36,30:04.6,29.10000038,39.73,2.83,-0.05703724239696583,1.0084695422658925,-0.8982015874496491,2024-10-07
37,30:05.6,29.10000038,39.8,2.78,-0.05703724239696583,1.0126774967610945,-0.9209500710133682,2024-10-07
38,30:06.6,29.10000038,39.8,2.78,-0.05703724239696583,1.0126774967610945,-0.9209500710133682,2024-10-07
39,30:07.6,29.10000038,39.89,2.75,-0.05703724239696583,1.0180877239692114,-0.9345991611515996,2024-10-07
40,30:08.6,29.0,39.81,2.7,-0.2082560191847763,1.013278633117552,-0.9573476447153185,2024-10-07
41,30:09.6,29.0,39.81,2.7,-0.2082560191847763,1.013278633117552,-0.9573476447153185,2024-10-07
42,30:10.6,29.0,39.91,2.67,-0.2082560191847763,1.019289996682126,-0.9709967348535501,2024-10-07
